Time,UeId,FlowId,Direction,SrcAddr,DstAddr,Throughput_kbps,Latency_ms,Jitter_ms,PacketLoss
1.1,17,12,UL,7.0.0.13,1.0.0.2,36267.8,7.13958,0.405192,0
1.1,18,13,UL,7.0.0.14,1.0.0.2,35609.9,6.69139,0.419429,0
1.1,19,14,UL,7.0.0.15,1.0.0.2,36350.1,6.97548,0.426014,0
1.2,6,1,UL,7.0.0.2,1.0.0.2,5181.12,9.74185,2.27182,0
1.2,7,2,UL,7.0.0.3,1.0.0.2,5181.12,15.0673,2.51056,0
1.2,8,3,UL,7.0.0.4,1.0.0.2,5345.6,7.68828,2.00277,0
1.2,9,4,UL,7.0.0.5,1.0.0.2,5592.32,10.4071,2.23076,0
1.2,10,5,UL,7.0.0.6,1.0.0.2,37419.2,9.42115,0.423363,0
1.2,11,6,UL,7.0.0.7,1.0.0.2,34952,6.78003,0.415542,0
1.2,12,7,UL,7.0.0.8,1.0.0.2,34705.3,6.97921,0.43176,0
1.2,13,8,UL,7.0.0.9,1.0.0.2,36021.1,8.06759,0.430174,0
1.2,14,9,UL,7.0.0.10,1.0.0.2,37172.5,6.85014,0.423711,0
1.2,15,10,UL,7.0.0.11,1.0.0.2,36021.1,8.34753,0.429271,0
1.2,16,11,UL,7.0.0.12,1.0.0.2,36350.1,10.5742,0.425143,0
1.2,17,12,UL,7.0.0.13,1.0.0.2,37419.2,7.10006,0.411073,0
1.2,18,13,UL,7.0.0.14,1.0.0.2,34540.8,6.77119,0.420421,0
1.2,19,14,UL,7.0.0.15,1.0.0.2,35527.7,6.7672,0.41992,0
1.3,6,1,UL,7.0.0.2,1.0.0.2,4934.4,10.5015,2.35876,0
1.3,7,2,UL,7.0.0.3,1.0.0.2,5016.64,16.7672,2.6751,0
1.3,8,3,UL,7.0.0.4,1.0.0.2,5016.64,7.89558,2.07041,0
1.3,9,4,UL,7.0.0.5,1.0.0.2,5016.64,7.66883,2.05109,0
1.3,10,5,UL,7.0.0.6,1.0.0.2,30757.8,7.25065,0.428605,0
1.3,11,6,UL,7.0.0.7,1.0.0.2,34869.8,6.18366,0.404105,0
