Time,UE_ID,X,Y,Z,Speed_ms
11.600,6,-30.000,60.000,2.500,0.000
11.700,1,-46.281,29.717,1.700,0.000
11.800,7,-70.000,60.000,2.500,0.000
11.900,9,80.000,-20.000,2.500,0.000
11.900,3,46.281,-29.717,1.700,0.000
12.000,2,-29.717,-46.281,1.700,0.000
12.000,10,80.000,-60.000,2.500,0.000
12.000,5,60.000,60.000,2.500,0.000
12.000,0,27.583,47.583,1.700,0.000
12.100,13,-80.000,-60.000,2.500,0.000
12.100,11,40.000,-60.000,2.500,0.000
12.200,6,-30.000,60.000,2.500,0.000
12.300,4,40.000,60.000,2.500,0.000
12.300,12,-40.000,-60.000,2.500,0.000
12.300,1,-47.583,27.583,1.700,0.000
12.400,8,-90.000,-20.000,2.500,0.000
12.500,7,-70.000,60.000,2.500,0.000
12.500,10,80.000,-60.000,2.500,0.000
12.500,5,60.000,60.000,2.500,0.000
12.500,0,25.392,48.788,1.700,0.000
12.700,3,48.788,-25.392,1.700,0.000
12.700,2,-25.392,-48.788,1.700,0.000
12.700,11,40.000,-60.000,2.500,0.000
12.800,9,80.000,-20.000,2.500,0.000
12.800,6,-30.000,60.000,2.500,0.000
12.900,13,-80.000,-60.000,2.500,0.000
12.900,1,-48.788,25.392,1.700,0.000
13.000,12,-40.000,-60.000,2.500,0.000
13.000,10,80.000,-60.000,2.500,0.000
13.000,5,60.000,60.000,2.500,0.000
13.000,0,23.149,49.891,1.700,0.000
13.200,4,40.000,60.000,2.500,0.000
13.200,8,-90.000,-20.000,2.500,0.000
13.200,7,-70.000,60.000,2.500,0.000
13.300,11,40.000,-60.000,2.500,0.000
13.400,2,-23.149,-49.891,1.700,0.000
13.400,6,-30.000,60.000,2.500,0.000
13.500,3,49.891,-23.149,1.700,0.000
13.500,1,-50.891,20.858,1.700,0.000
13.500,10,80.000,-60.000,2.500,0.000
13.500,5,60.000,60.000,2.500,0.000
13.500,0,20.858,50.891,1.700,0.000
13.700,9,80.000,-20.000,2.500,0.000
13.700,13,-80.000,-60.000,2.500,0.000
13.700,12,-40.000,-60.000,2.500,0.000
13.900,7,-70.000,60.000,2.500,0.000
13.900,11,40.000,-60.000,2.500,0.000
14.000,8,-90.000,-20.000,2.500,0.000
14.000,6,-30.000,60.000,2.500,0.000
14.000,10,80.000,-60.000,2.500,0.000
14.000,5,60.000,60.000,2.500,0.000
14.000,0,18.524,51.787,1.700,0.000
14.100,4,40.000,60.000,2.500,0.000
14.100,2,-18.524,-51.787,1.700,0.000
14.100,1,-51.787,18.524,1.700,0.000
14.300,3,51.787,-18.524,1.700,0.000
14.400,12,-40.000,-60.000,2.500,0.000
14.500,13,-80.000,-60.000,2.500,0.000
14.500,11,40.000,-60.000,2.500,0.000
14.500,10,80.000,-60.000,2.500,0.000
14.500,5,60.000,60.000,2.500,0.000
14.500,0,16.152,52.575,1.700,0.000
14.600,9,80.000,-20.000,2.500,0.000
14.600,7,-70.000,60.000,2.500,0.000
14.600,6,-30.000,60.000,2.500,0.000
14.700,1,-52.575,16.152,1.700,0.000
14.800,8,-90.000,-20.000,2.500,0.000
14.800,2,-16.152,-52.575,1.700,0.000
