Time,UE_ID,Best_gNB_ID,RSRP_dBm,Distance_m,Handover_Event
10.5,5,1,-45.3,54.6,NO
10.5,0,1,-48.0,73.9,NO
10.6,11,5,-45.8,58.2,NO
10.6,6,2,-46.5,62.3,NO
10.6,1,2,-48.7,79.4,NO
10.7,12,4,-45.8,58.2,NO
10.7,7,2,-45.4,55.5,NO
10.7,2,4,-48.0,73.9,NO
10.8,13,4,-45.8,58.2,NO
10.8,8,3,-44.2,48.5,NO
10.8,3,5,-48.7,79.4,NO
10.9,9,0,-45.4,55.3,NO
10.9,4,1,-45.8,58.2,NO
11.0,10,5,-45.8,58.2,NO
11.0,5,1,-45.3,54.6,NO
11.0,0,1,-47.9,73.4,NO
11.1,11,5,-45.8,58.2,NO
11.1,6,2,-46.5,62.3,NO
11.1,1,2,-48.8,80.9,NO
11.2,12,4,-45.8,58.2,NO
11.2,7,2,-45.4,55.5,NO
11.2,2,4,-47.9,73.4,NO
11.3,13,4,-45.8,58.2,NO
11.3,8,3,-44.2,48.5,NO
11.3,3,5,-48.8,80.9,NO
11.4,9,0,-45.4,55.3,NO
11.4,4,1,-45.8,58.2,NO
11.5,10,5,-45.8,58.2,NO
11.5,5,1,-45.3,54.6,NO
11.5,0,1,-47.9,73.1,NO
11.6,11,5,-45.8,58.2,NO
11.6,6,2,-46.5,62.3,NO
11.6,1,2,-49.0,82.5,NO
11.7,12,4,-45.8,58.2,NO
11.7,7,2,-45.4,55.5,NO
11.7,2,4,-47.9,73.1,NO
11.8,13,4,-45.8,58.2,NO
11.8,8,3,-44.2,48.5,NO
11.8,3,5,-49.0,82.5,NO
11.9,9,0,-45.4,55.3,NO
11.9,4,1,-45.8,58.2,NO
12.0,10,5,-45.8,58.2,NO
12.0,5,1,-45.3,54.6,NO
12.0,0,1,-47.9,73.0,NO
12.1,11,5,-45.8,58.2,NO
12.1,6,2,-46.5,62.3,NO
12.1,1,2,-49.2,84.2,NO
12.2,12,4,-45.8,58.2,NO
12.2,7,2,-45.4,55.5,NO
12.2,2,4,-47.9,73.0,NO
12.3,13,4,-45.8,58.2,NO
12.3,8,3,-44.2,48.5,NO
12.3,3,5,-49.2,84.2,NO
12.4,9,0,-45.4,55.3,NO
12.4,4,1,-45.8,58.2,NO
12.5,10,5,-45.8,58.2,NO
12.5,5,1,-45.3,54.6,NO
12.5,0,1,-47.9,73.1,NO
12.6,11,5,-45.8,58.2,NO
12.6,6,2,-46.5,62.3,NO
12.6,1,3,-49.0,82.6,YES
12.7,12,4,-45.8,58.2,NO
12.7,7,2,-45.4,55.5,NO
12.7,2,4,-47.9,73.1,NO
12.8,13,4,-45.8,58.2,NO
12.8,8,3,-44.2,48.5,NO
12.8,3,0,-49.0,82.6,YES
12.9,9,0,-45.4,55.3,NO
12.9,4,1,-45.8,58.2,NO
13.0,10,5,-45.8,58.2,NO
13.0,5,1,-45.3,54.6,NO
13.0,0,1,-47.9,73.4,NO
13.1,11,5,-45.8,58.2,NO
13.1,6,2,-46.5,62.3,NO
13.1,1,3,-48.8,81.0,NO
13.2,12,4,-45.8,58.2,NO
13.2,7,2,-45.4,55.5,NO
13.2,2,4,-47.9,73.4,NO
13.3,13,4,-45.8,58.2,NO
13.3,8,3,-44.2,48.5,NO
13.3,3,0,-48.8,81.0,NO
13.4,9,0,-45.4,55.3,NO
13.4,4,1,-45.8,58.2,NO
13.5,10,5,-45.8,58.2,NO
13.5,5,1,-45.3,54.6,NO
13.5,0,1,-48.0,73.8,NO
13.6,11,5,-45.8,58.2,NO
13.6,6,2,-46.5,62.3,NO
13.6,1,3,-48.7,79.5,NO
13.7,12,4,-45.8,58.2,NO
13.7,7,2,-45.4,55.5,NO
13.7,2,4,-48.0,73.8,NO
13.8,13,4,-45.8,58.2,NO
13.8,8,3,-44.2,48.5,NO
13.8,3,0,-48.7,79.5,NO
13.9,9,0,-45.4,55.3,NO
13.9,4,1,-45.8,58.2,NO
14.0,10,5,-45.8,58.2,NO
14.0,5,1,-45.3,54.6,NO
14.0,0,1,-48.1,74.5,NO
14.1,11,5,-45.8,58.2,NO
14.1,6,2,-46.5,62.3,NO
14.1,1,3,-48.5,78.1,NO
14.2,12,4,-45.8,58.2,NO
14.2,7,2,-45.4,55.5,NO
14.2,2,4,-48.1,74.5,NO
14.3,13,4,-45.8,58.2,NO
14.3,8,3,-44.2,48.5,NO
14.3,3,0,-48.5,78.1,NO
14.4,9,0,-45.4,55.3,NO
14.4,4,1,-45.8,58.2,NO
14.5,10,5,-45.8,58.2,NO
14.5,5,1,-45.3,54.6,NO
14.5,0,1,-48.2,75.3,NO
14.6,11,5,-45.8,58.2,NO
14.6,6,2,-46.5,62.3,NO
14.6,1,3,-48.4,76.9,NO
14.7,12,4,-45.8,58.2,NO
14.7,7,2,-45.4,55.5,NO
14.7,2,4,-48.2,75.3,NO
14.8,13,4,-45.8,58.2,NO
14.8,8,3,-44.2,48.5,NO
14.8,3,0,-48.4,76.9,NO
14.9,9,0,-45.4,55.3,NO
14.9,4,1,-45.8,58.2,NO
